2018-11-01 01:05:22 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2018-11-01 01:05:22 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2018-11-01 01:05:22 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2018-11-01 01:05:22 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2018-11-01 01:05:22 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2018-11-01 01:05:22 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2018-11-01 01:05:22 install libgpg-error0:amd64 <none> 1.27-6
2018-11-01 01:05:22 status half-installed libgpg-error0:amd64 1.27-6
2018-11-01 01:05:22 status unpacked libgpg-error0:amd64 1.27-6
2018-11-01 01:05:22 status unpacked libgpg-error0:amd64 1.27-6
2018-11-01 01:05:22 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2018-11-01 01:05:22 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2018-11-01 01:05:22 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2018-11-01 01:05:22 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2018-11-01 01:05:22 install liblzma5:amd64 <none> 5.2.2-1.3
2018-11-01 01:05:22 status half-installed liblzma5:amd64 5.2.2-1.3
2018-11-01 01:05:22 status unpacked liblzma5:amd64 5.2.2-1.3
2018-11-01 01:05:22 status unpacked liblzma5:amd64 5.2.2-1.3
2018-11-01 01:05:22 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:22 install libncurses5:amd64 <none> 6.1-1ubuntu1
2018-11-01 01:05:22 status half-installed libncurses5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 status unpacked libncurses5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 status unpacked libncurses5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2018-11-01 01:05:22 status half-installed libncursesw5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 status unpacked libncursesw5:amd64 6.1-1ubuntu1
2018-11-01 01:05:22 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2018-11-01 01:05:22 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:22 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:22 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2018-11-01 01:05:22 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2018-11-01 01:05:23 install libpcre3:amd64 <none> 2:8.39-9
2018-11-01 01:05:23 status half-installed libpcre3:amd64 2:8.39-9
2018-11-01 01:05:23 status unpacked libpcre3:amd64 2:8.39-9
2018-11-01 01:05:23 status unpacked libpcre3:amd64 2:8.39-9
2018-11-01 01:05:23 install libprocps6:amd64 <none> 2:3.3.12-3ubuntu1
2018-11-01 01:05:23 status half-installed libprocps6:amd64 2:3.3.12-3ubuntu1
2018-11-01 01:05:23 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-11-01 01:05:23 status unpacked libprocps6:amd64 2:3.3.12-3ubuntu1
2018-11-01 01:05:23 install libselinux1:amd64 <none> 2.7-2build2
2018-11-01 01:05:23 status half-installed libselinux1:amd64 2.7-2build2
2018-11-01 01:05:23 status unpacked libselinux1:amd64 2.7-2build2
2018-11-01 01:05:23 status unpacked libselinux1:amd64 2.7-2build2
2018-11-01 01:05:23 install libsemanage-common:all <none> 2.7-2build2
2018-11-01 01:05:23 status half-installed libsemanage-common:all 2.7-2build2
2018-11-01 01:05:23 status unpacked libsemanage-common:all 2.7-2build2
2018-11-01 01:05:23 status unpacked libsemanage-common:all 2.7-2build2
2018-11-01 01:05:23 install libsemanage1:amd64 <none> 2.7-2build2
2018-11-01 01:05:23 status half-installed libsemanage1:amd64 2.7-2build2
2018-11-01 01:05:23 status unpacked libsemanage1:amd64 2.7-2build2
2018-11-01 01:05:23 status unpacked libsemanage1:amd64 2.7-2build2
2018-11-01 01:05:23 install libsepol1:amd64 <none> 2.7-1
2018-11-01 01:05:23 status half-installed libsepol1:amd64 2.7-1
2018-11-01 01:05:23 status unpacked libsepol1:amd64 2.7-1
2018-11-01 01:05:23 status unpacked libsepol1:amd64 2.7-1
2018-11-01 01:05:23 install libsmartcols1:amd64 <none> 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status half-installed libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked libsmartcols1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 install libss2:amd64 <none> 1.44.1-1
2018-11-01 01:05:23 status half-installed libss2:amd64 1.44.1-1
2018-11-01 01:05:23 status unpacked libss2:amd64 1.44.1-1
2018-11-01 01:05:23 status unpacked libss2:amd64 1.44.1-1
2018-11-01 01:05:23 install libsystemd0:amd64 <none> 237-3ubuntu10
2018-11-01 01:05:23 status half-installed libsystemd0:amd64 237-3ubuntu10
2018-11-01 01:05:23 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-11-01 01:05:23 status unpacked libsystemd0:amd64 237-3ubuntu10
2018-11-01 01:05:23 install libtinfo5:amd64 <none> 6.1-1ubuntu1
2018-11-01 01:05:23 status half-installed libtinfo5:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked libtinfo5:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 install libudev1:amd64 <none> 237-3ubuntu10
2018-11-01 01:05:23 status half-installed libudev1:amd64 237-3ubuntu10
2018-11-01 01:05:23 status unpacked libudev1:amd64 237-3ubuntu10
2018-11-01 01:05:23 status unpacked libudev1:amd64 237-3ubuntu10
2018-11-01 01:05:23 install libuuid1:amd64 <none> 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status half-installed libuuid1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked libuuid1:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 install libzstd1:amd64 <none> 1.3.3+dfsg-2ubuntu1
2018-11-01 01:05:23 status half-installed libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-11-01 01:05:23 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-11-01 01:05:23 status unpacked libzstd1:amd64 1.3.3+dfsg-2ubuntu1
2018-11-01 01:05:23 install login:amd64 <none> 1:4.5-1ubuntu1
2018-11-01 01:05:23 status half-installed login:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 status unpacked login:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 status unpacked login:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 install lsb-base:all <none> 9.20170808ubuntu1
2018-11-01 01:05:23 status half-installed lsb-base:all 9.20170808ubuntu1
2018-11-01 01:05:23 status unpacked lsb-base:all 9.20170808ubuntu1
2018-11-01 01:05:23 status unpacked lsb-base:all 9.20170808ubuntu1
2018-11-01 01:05:23 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-11-01 01:05:23 status half-configured mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 status half-installed mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 status unpacked mawk:amd64 1.3.3-17ubuntu3
2018-11-01 01:05:23 install mount:amd64 <none> 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status half-installed mount:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 status unpacked mount:amd64 2.31.1-0.4ubuntu3
2018-11-01 01:05:23 install ncurses-base:all <none> 6.1-1ubuntu1
2018-11-01 01:05:23 status half-installed ncurses-base:all 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-11-01 01:05:23 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2018-11-01 01:05:23 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2018-11-01 01:05:23 install passwd:amd64 <none> 1:4.5-1ubuntu1
2018-11-01 01:05:23 status half-installed passwd:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 status unpacked passwd:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 status unpacked passwd:amd64 1:4.5-1ubuntu1
2018-11-01 01:05:23 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2018-11-01 01:05:23 status half-configured perl-base:amd64 5.26.1-6
